intent,subject,question,answer
greeting,greeting,Dude!,Dude!
greeting,greeting,Greetings!,Hello
greeting,greeting,Hello,Greetings!
greeting,greeting,Hello!,Hi!
greeting,greeting,"hello, how are you?",I'm fine thank you. And you?
greeting,greeting,Hey bot.,Hey human
greeting,greeting,Hi there.,How are you?
greeting,greeting,Hi!,Hi!
greeting,greeting,"Hi, how are you?",I'm fine thank you. How are you?
greeting,greeting,Hola!,Yo!
greeting,greeting,How are you?,I am good
greeting,greeting,How are you?,"I'm good, how are you?"
greeting,greeting,I am good,That is good to hear
greeting,greeting,Thank you.,You are welcome.
greeting,greeting,You are welcome.,Thank you
question,asthma,"As a healthy, younger person, but with chronic asthma, am I at a higher risk?","Asthma certainly is a concerning issue, regardless of Covid-19virus so it's important to try to get your asthma under control and watch carefully for symptoms of shortness of breath."
question,countries strategy,Do you think there's any chance of countries doing a staggered approach to keep the load at health care facilities manageable?,People will be able to largely isolate for 2-3 months. If they can access testing including a home test kit then they will understand who is infected.
question,countries strategy,Is there still a way that countries can flatten the curve or are there things they can still do to ensure that they don’t encounter the worst case scenario.,"It's likely that the outbreak will continue on for some time. It might even go back and forth between the Northern and Southern Hemisphere. Thus, I advise that you set up a system for confirming cases and strongly enforce social distancing."
question,countries strategy,"What do you think about the current countries who are not closing their schools, especially with countries who have 500+ infected?","Closing schools does cut down on the transmission of respiratory diseases like Covid-19. But each country must make its decisions based on its individual risk. Hopefully, world leaders are listening to the scientific experts and making sound judgments."
question,countries strategy,Why do some countries have such a low mortality rate?,It is likely attributed to early detection and implementation of conservative management. Deaths due to Covid-19 occur mainly in the older demographics.
question,countries strategy,How do we help the strain on our country's health system?,"As the numbers increase, yes, the system will start to get overloaded. But every region of the country has plans and training in place to handle these situations, and they're starting to prepare, just in case."
question,countries strategy,What measures can be easily translated and copied by almost any other country to stop the spread of the virus?,Social or physical distancing is the most important. 
question,countries strategy,Is there anything you can do to assist with ventilator production?,If we do social distancing properly then the surge of cases won't be as overwhelming. There will be enough ventilators.
question,countries strategy,What about the approach of not going to a full lockdown but rather try to spread it controllably in order to work towards ‘herd immunity’.,The only model that is known to work is a serious social distancing effort . If you don't do this then the disease will spread to a high percentage of the population and your hospitals will be overloaded with cases. So this should be avoided despite the problems caused by the shut down.
question,countries strategy,What businesses should be allowd to operate to maintain our economy while providing social distancing?,"Certainly food supply and the health system. We still need water, electricity and the internet. Supply chains for critical things need to be maintained. Countries are still figuring out what to keep running."
question,countries strategy,Why is it important to flatten the curve?,"When everyone gets sick goes to the hospital all at once, there is not enough beds for everyone. That is a peak in the curve. But when everyone practices social distancing, and it is more difficult for the virus to spread, there is usually enough beds to go around. That is a peak that can hopefully be flattened."
question,countries strategy,How is the economy likely to recover after all of this?,The economic impact of the shut down will be large but if it is done well eventually we can open back up.
question,countries strategy,Who should self quarantine?,"All non-healthcare workers, please self quarantine."
question,countries strategy,Do you think increased risk observed for physicians is an issue of PPE supplies or abundance of viral load?,"The problem is that once the virus has a very high initial transmission capacity, and the PPE supply is not adequate, it is difficult for the medical staff to effectively prevent respiratory transmission."
question,distancing,Do you believe this current social distancing will still be necessary worldwide in September?,"It may vary depending on the trend in the future, as well as on the particular local and national circumstances."
question,hand,What should I do to prevent myself from getting the virus?,"Wash your food(that you can wash), hands and surfaces frequently."
question,hand,Why should I wash my hands after touching shared surfaces?,"It is important to wash your hands regularly, because a person may have coughed and sneezed onto their hand and then handled a shared surface."
question,health,Can you explain what people can do to help in this moment of crisis?,A big thing is to go along with the shut down approach in your community so that the infection rate drops dramatically to let us go back to normal as soon as possible. Some people like health care workers will be doing heroic work and we need to support them. We do need to stay calm even though this is an unprecedented situation.
question,health,Could people who have recovered go help in hospitals with no risk of getting infected again?,"It's possible, if one is in good condition. However, one should use the same PPE as other healthcare workers."
question,mask,Are cloth masks helpful at all?,"If you have to go to a place where a lot of people are together in an enclosed space, we recommend wearing a cloth mask if you don't have something better. However, it is difficult to guarantee the preventive effect when using it for a long period of time."
question,mask,Media and health experts advise against the wearing of masks. Do masks provide any benefit to uninfected people?,"There are some confirmed cases where a mask had been worn by an infected patient thoroughly since the onset of symptoms, and no transmission had occurred to anyone else in contact. Thus, it seems safe to say that it would be beneficial for people with fever or respiratory symptoms to wear a mask than those with no symptoms."
question,mask,"Why can't I buy masks, if I am not sick, but want to protect myself?",There is a limited supply and healthcare workers absolutely NEED them right now.
question,mask,How important is it for the general population to be wearing masks when out?," It is recommended that you use it when visiting a medical institution, if you have fever or respiratory symptoms, or when you need to come into contact with high-risk or symptomatic patients."
question,mask,If you work in an essential job around other people should you be wearing an N95 mask even if you are showing no symptoms?,"Medical staff should be wearing the N95 respirator when contacting patients. However, N95 is not recommended for non-medical personnel. The N95 has a good preventive effect, but it is actually dangerous if one is not trained to put on and remove the mask as the chance of contamination can actually increase. In addition, when worn for a long period of time, the mask may lose its preventive effect."
question,national,d there be a national shelter in place order?,Most people can shelter in their home but for people who that doesn't work for there should be a place for them to go. so they don't have to go out and so the tests get to the people who are the priority. 
question,old,"Do you see any value in taking vitamins as a precautionary measure? I'm currently taking Vitamins C & D, Zinc and Elderberry. Figure it couldn't hurt, just wondering if it's worth recommending to others.","There actually is some evidence that Elderberry makes symptoms of a cold more tolerable, but there is no evidence it prevents infections. Keep in mind it also has to be boiled to prevent cyanide toxicity. But, we have been seeing a lot of talk about the idea of boosting your immune system, but please keep in mind that a lot of the reasons why people get respiratory distress is that the immune system is too activated, causing a cytokine storm and causing death. A really overactive immune system is really quite harmful."
question,old,What percentage of cases are under 40 years old?,50% of all patients are under the age of 40.
question,pandemic strategy,What do you see as the long-term strategy for fighting this pandemic and do you feel like it will adequately prepare us for the next?,I think that after this is under control that Governments and others will invest heavily in being ready for the next one. This will take global cooperation particularly to help the developing countries who will be hurt the most. A good example is the need to test therapeutics wherever the disease is to help the whole world. The Virus doesn't respect national boundaries.
question,pandemic end,When will this pandemic end?,To bring it to small numbers globally we need a vaccine. Many rich countries will be able to keep the number of cases small if they do the right things but developing countries will find it very difficult to stop the spread so a vaccine is critical.
question,pandemic,Do you think Covid-19 is the worst outbreak in modern times in terms of scale and severity ?,"Covid-19 is definitely worse than its cousins, SARS and MERS. Time will tell where Covid-19 ranks among influenza pandemics and other major epidemics. If Covid-19's case-fatality ratio remains the same and the virus infects as many people as the 2009 H1N1 pandemic or more, then Covid-19 could certainly go down as one of the worst, if not the worst, outbreak of all time."
question,pandemic last,How long will this pandemic go on?,This will vary a lot by country. China is seeing very few cases now because their testing and shut down was very effective. If a country does a good job with testing and shut down then within 6-10 weeks they should see very few cases and be able to open back up.
question,pandemic strategy,"Once this pandemic comes to a close, what should we do so that we are better prepared for the next pandemic?","We need to have the ability to scale up diagnostics, drugs and vaccines very rapidly. The technologies exist to do this well if the right investments are made. Countries can work together on this."
question,pandemic pregnant,Should women delay getting pregnant during this pandemic?,"It's difficult to assess the risks, but we think that if a pregnant woman is infected, it's quite dangerous because there are more limitations in terms of treatment, as well as the chance for decreased lung capability."
question,asymptomatic,Are asymptomatic patients infectious?,"There are conflicting reports but the answer tends to be no. The WHO notes that asymptomatic infection has been reported, but the majority of the relatively rare cases who are asymptomatic on the date of identification/report went on to develop disease. It’s important to note that the proportion of truly asymptomatic infections is unclear since we aren’t yet widely testing asymptomatic patients, but appears to be relatively rare and does not appear to be a major driver of transmission."
question,asymptomatic,Are you concerned there are a lot of asymptomatic carriers and transmissions occurring in densely populated areas?,"It is still unclear whether asymptomatic patients infect others, and even if they do, we consider that they take up a small portion of infections."
question,patients,Does the virus leave permanent lung damage in patients who needed hospitalization and recovered?,It is unlikely. A study from China showed the damage healed after 31 days.
,second again,Is it possible to be infected by the same strain again? how soon? will it be more severe the second time?,"There is still too much speculation surrounding this, and we can't give a definitive answer yet."
question,second again,Have there been people who have recovered who have become sick again and tested positive again?,"Yes there are cases. However, those patients did not spread the virus to other people."
