intent,subject,question,answer
greeting,greeting,Dude,Sup
greeting,greeting,Hello,Hi
greeting,greeting,Hey man,What's up?
greeting,greeting,Hello,Hello
greeting,greeting,Hello,Hi
greeting,greeting,Yo!,Yo
greeting,greeting,Hi,Hello
greeting,greeting,Hi,Hi
greeting,greeting,Hey,Hi
greeting,greeting,Hi,"Hello, how are you?"
greeting,greeting,Hi,"Hi, how are you?"
greeting,greeting,"hello, how are you?",I'm fine thank you. And you?
greeting,greeting,"hello, how are you?",Good! And you?
greeting,greeting,hey bot,Hey human :)
greeting,greeting,hi robot,Hi human!
greeting,greeting,hi bot,Hello human
greeting,greeting,hey robot,Hey human!
greeting,greeting,Hi there,How's it goin?
greeting,greeting,"Hi, how are you?",I'm fine thank you. How are you?
greeting,greeting,"Hi, how are you?",Good! How are you?
greeting,greeting,Hola!,Yo!
greeting,greeting,Howdy,Hey there
thanks,thanks,Thank you.,You are welcome.
thanks,thanks,Thanks.,You're welcome.
thanks,thanks,Cheers.,No Problem.
reply,reply,How are you?,"I'm good, how are you?"
reply,reply,I am good.,That is good to hear
reply,reply,How are you doing?,i'm fine. how about yourself?
reply,reply,"i'm fine, how about yourself?",i'm pretty good. thanks for asking.
reply,reply,"Good, how about you?",i'm good. thanks for asking.
reply,reply,i'm pretty good. thanks for asking.,no problem.
reply,reply,no problem. so how have you been?,i've been great.
reply,reply,i've been great. what about you?,i'm good.
reply,reply,i'm good.,cool.
reply,reply,cool.,how's it going?
reply,reply,how's it going?,i'm doing well. how about you?
reply,reply,i'm doing well. how about you?,"never better, thanks."
reply,reply,"never better, thanks.",so how have you been lately?
reply,reply,so how have you been lately?,i've actually been pretty good. you?
reply,reply,i've actually been pretty good. you?,trying to get through the pandemic. you know?
general,general,trying to get through the pandemic. you know?,i hear you. masks on!
general,general,i hear you. masks on!,i forgot mine the other day. felt so bad.
general,general,i forgot mine the other day. felt so bad.,it happens.
general,general,it happens.,"yeah, but I still felt bad."
general,general,"yeah, but I still felt bad.",don't worry about it. it happens.
general,general,don't worry about it. it happens.,"yeah, true."
general,general,how are you doing today?,i'm doing great. what about you?
general,general,i'm doing great. what about you?,"i'm fantastic, thank you."
general,general,"i'm fantastic, thank you.",everything's been good with you?
general,general,everything's been good with you?,yep. how about yourself?
general,general,yep. how about yourself?,i started school recently.
general,general,i started school recently.,where are you going to school?
general,general,it's an ugly day today.,i know. i think it may rain.
general,general,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today."
general,general,"it's the middle of summer, it shouldn't rain today.",that would be weird.
general,general,that would be weird.,"yeah, especially since it's ninety degrees outside."
general,general,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
general,general,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be."
general,general,"yes, it would be.",i really wish it wasn't so hot every day.
general,general,i really wish it wasn't so hot every day.,me too. i can't wait until winter.
general,general,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
general,general,"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
general,general,i'd rather be cold than hot.,me too.
general,general,it doesn't look very nice outside today.,you're right. i think it's going to rain later.
general,general,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining."
general,general,"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
general,general,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
general,general,"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot."
general,general,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
general,general,"i know, you're absolutely right.",i wish it would cool off one day.
general,general,i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
general,general,"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
general,general,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
general,general,"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.
general,general,i wish it was a nicer day today.,that is true. i hope it doesn't rain.
general,general,that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.
general,general,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.
general,general,it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.
general,general,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
general,general,any rain right now would be pointless.,"that's right, it really would be."
general,general,"that's right, it really would be.",i want it to cool down some.
general,general,i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
general,general,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
general,general,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
general,general,it's such a nice day.,"yes, it is."
general,general,"yes, it is.",it looks like it may rain soon.
general,general,it looks like it may rain soon.,"yes, and i hope that it does."
general,general,"yes, and i hope that it does.",why is that?
general,general,why is that?,i really love how rain clears the air.
general,general,i really love how rain clears the air.,me too. it always smells so fresh after it rains.
general,general,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
general,general,"yes, but i love the night air after it rains.",really? why is it?
general,general,really? why is it?,because you can see the stars perfectly.
general,general,because you can see the stars perfectly.,i really hope it rains today.
general,general,i really hope it rains today.,"yeah, me too."
general,general,isn't it a nice day?,it really is.
general,general,it really is.,it seems that it may rain today.
general,general,it seems that it may rain today.,hopefully it will.
general,general,hopefully it will.,how come?
general,general,how come?,i like how clear the sky gets after it rains.
general,general,i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.
general,general,i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.
general,general,i especially love the night air when it rains.,really? why?
general,general,really? why?,the stars look so much closer after it rains.
general,general,the stars look so much closer after it rains.,i really want it to rain today.
general,general,i really want it to rain today.,"yeah, so do i."
general,general,don't you think it's nice out?,"yes, i think so too."
general,general,"yes, i think so too.",i think that it's going to rain.
general,general,i think that it's going to rain.,i hope that it does rain.
general,general,i hope that it does rain.,you like the rain?
general,general,you like the rain?,the sky looks so clean after it rains. i love it.
general,general,the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.
general,general,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
general,general,i love most how it is at night after it rains.,how come?
general,general,how come?,you can see the stars so much more clearly after it rains.
general,general,you can see the stars so much more clearly after it rains.,i would love for it to rain today.
general,general,i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?
general,general,that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.
general,general,i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?
